epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6255,1.15771,1.29099,1.61672,0.01471,0.02609,0.00657,0.00096,3.78482,2.9844,7.36507,0.00327586,0.00327586,0.0705172
2,69.7974,1.15769,0.83405,1.58542,0.09695,0.50435,0.09468,0.02959,2.33778,2.65433,4.91401,0.00628204,0.00628204,0.0401901
3,92.2181,1.09773,0.75739,1.52478,0.39331,0.44348,0.36585,0.11425,2.69158,2.03592,4.52093,0.00895822,0.00895822,0.00953293
4,118.28,1.05152,0.71912,1.50746,0.23237,0.33043,0.23902,0.08549,2.4912,4.44637,3.62276,0.008515,0.008515,0.008515
5,142.779,1.02959,0.69468,1.48167,0.80157,0.85217,0.85109,0.43346,1.62422,1.05751,2.59121,0.00802,0.00802,0.00802
6,165.337,0.99136,0.63121,1.45265,0.48073,0.56352,0.44901,0.15318,1.98505,1.93923,2.55472,0.007525,0.007525,0.007525
7,189.542,0.95161,0.61711,1.41273,0.85615,0.94783,0.974,0.68967,0.97701,0.87053,1.54414,0.00703,0.00703,0.00703
8,212.4,0.89074,0.57752,1.35727,0.94297,0.9913,0.98443,0.67376,1.13402,0.62865,1.77726,0.006535,0.006535,0.006535
9,236.778,0.8644,0.55363,1.35614,0.86781,0.91337,0.95436,0.59724,1.14438,0.96084,1.7453,0.00604,0.00604,0.00604
10,259.713,0.85453,0.53536,1.33438,0.88,0.89274,0.90983,0.61478,1.05445,0.7216,1.77633,0.005545,0.005545,0.005545
11,285.564,0.77427,0.51757,1.49114,0.98229,0.96446,0.98901,0.68068,1.08236,0.62927,1.73513,0.00505,0.00505,0.00505
12,307.591,0.70846,0.42226,1.37738,0.98252,0.97778,0.99466,0.77561,0.8313,0.47392,1.42995,0.004555,0.004555,0.004555
13,329.612,0.72466,0.39852,1.39618,0.98079,1,0.99466,0.74465,0.92906,0.4826,1.53298,0.00406,0.00406,0.00406
14,350.658,0.68779,0.38821,1.36765,0.98326,0.9913,0.99465,0.8063,0.77278,0.49809,1.33358,0.003565,0.003565,0.003565
15,373.37,0.65293,0.35649,1.32287,0.99426,1,0.995,0.79737,0.75555,0.44025,1.26256,0.00307,0.00307,0.00307
16,396.48,0.63045,0.33833,1.29636,0.99053,1,0.995,0.81253,0.75305,0.41656,1.29198,0.002575,0.002575,0.002575
17,420.319,0.61895,0.33967,1.29891,0.99936,1,0.995,0.84742,0.66339,0.35577,1.18285,0.00208,0.00208,0.00208
18,441.547,0.59305,0.31289,1.26087,0.99939,1,0.995,0.84314,0.66725,0.36298,1.14465,0.001585,0.001585,0.001585
19,464.267,0.57668,0.30544,1.2511,0.99939,1,0.995,0.83548,0.69645,0.34069,1.16451,0.00109,0.00109,0.00109
20,485.868,0.55307,0.2976,1.21747,0.99945,1,0.995,0.85997,0.61946,0.33847,1.10589,0.000595,0.000595,0.000595
